id,手机号,城市,省,运营商
01078,13001078106,北京,北京,联通
01078,13001078106,北京,北京,联通
01079,13001079106,北京,北京,联通
01079,13001079106,北京,北京,联通
01080,13001080106,北京,北京,联通
01081,13001081106,北京,北京,联通
01080,13001080106,北京,北京,联通
01081,13001081106,北京,北京,联通
01082,13001082106,北京,北京,联通
01082,13001082106,北京,北京,联通
01083,13001083106,北京,北京,联通
01083,13001083106,北京,北京,联通
01084,13001084106,北京,北京,联通
01084,13001084106,北京,北京,联通
01085,13001085106,北京,北京,联通
01085,13001085106,北京,北京,联通
01086,13001086106,北京,北京,联通
01086,13001086106,北京,北京,联通
01087,13001087106,北京,北京,联通
01087,13001087106,北京,北京,联通
01088,13001088106,北京,北京,联通
01088,13001088106,北京,北京,联通
01089,13001089106,北京,北京,联通
01089,13001089106,北京,北京,联通
01090,13001090106,北京,北京,联通
01091,13001091106,北京,北京,联通
01090,13001090106,北京,北京,联通
01092,13001092106,北京,北京,联通
01091,13001091106,北京,北京,联通
01093,13001093106,北京,北京,联通
01092,13001092106,北京,北京,联通
01094,13001094106,北京,北京,联通
01093,13001093106,北京,北京,联通
01095,13001095106,北京,北京,联通
01094,13001094106,北京,北京,联通
01096,13001096106,北京,北京,联通
01095,13001095106,北京,北京,联通
01097,13001097106,北京,北京,联通
01096,13001096106,北京,北京,联通
01098,13001098106,北京,北京,联通
01097,13001097106,北京,北京,联通
01099,13001099106,北京,北京,联通
01100,13001100106,北京,北京,联通
01101,13001101106,北京,北京,联通
01102,13001102106,北京,北京,联通
01103,13001103106,北京,北京,联通
01104,13001104106,北京,北京,联通
01105,13001105106,北京,北京,联通
